"","filecoverage","totalcoverage"
"R/absDS.R",100,29.87
"R/asCharacterDS.R",100,29.87
"R/asDataMatrixDS.R",100,29.87
"R/asFactorDS1.R",62.5,29.87
"R/asFactorDS2.R",100,29.87
"R/asFactorSimpleDS.R",100,29.87
"R/asIntegerDS.R",100,29.87
"R/asListDS.R",100,29.87
"R/asLogicalDS.R",100,29.87
"R/asMatrixDS.R",100,29.87
"R/asNumericDS.R",100,29.87
"R/aucDS.R",86.67,29.87
"R/blackBoxDS.R",0,29.87
"R/blackBoxRanksDS.R",0,29.87
"R/BooleDS.R",75,29.87
"R/boxPlotGG_data_Treatment_numericDS.R",0,29.87
"R/boxPlotGG_data_TreatmentDS.R",0,29.87
"R/boxPlotGGDS.R",0,29.87
"R/bp_standardsDS.R",88.89,29.87
"R/cbindDS.R",77.78,29.87
"R/cDS.R",100,29.87
"R/changeRefGroupDS.R",100,29.87
"R/checkNegValueDS.R",100,29.87
"R/checkPermissivePrivacyControlLevel.R",80,29.87
"R/classDS.R",100,29.87
"R/colnamesDS.R",100,29.87
"R/completeCasesDS.R",72.73,29.87
"R/corDS.R",81.82,29.87
"R/corTestDS.R",100,29.87
"R/covDS.R",59.57,29.87
"R/dataFrameDS.R",65.38,29.87
"R/dataFrameFillDS.R",93.33,29.87
"R/dataFrameSortDS.R",77.78,29.87
"R/dataFrameSubsetDS1.R",52.54,29.87
"R/dataFrameSubsetDS2.R",41.23,29.87
"R/densityGridDS.R",86.36,29.87
"R/dimDS.R",100,29.87
"R/dmtC2SDS.R",0,29.87
"R/elsplineDS.R",0,29.87
"R/expDS.R",100,29.87
"R/extract.R",100,29.87
"R/extractQuantilesDS1.R",0,29.87
"R/extractQuantilesDS2.R",0,29.87
"R/gamlssDS.R",74.76,29.87
"R/getWGSRDS.R",81.61,29.87
"R/glmDS1.R",0,29.87
"R/glmDS2.R",0,29.87
"R/glmerSLMADS.assign.R",0,29.87
"R/glmerSLMADS2.R",0,29.87
"R/glmPredictDS.ag.R",0,29.87
"R/glmPredictDS.as.R",0,29.87
"R/glmSLMADS.assign.R",0,29.87
"R/glmSLMADS1.R",0,29.87
"R/glmSLMADS2.R",0,29.87
"R/glmSummaryDS.ag.R",0,29.87
"R/glmSummaryDS.as.R",0,29.87
"R/heatmapPlotDS.R",0,29.87
"R/hetcorDS.R",100,29.87
"R/histogramDS1.R",0,29.87
"R/histogramDS2.R",0,29.87
"R/igb_standardsDS.R",58.12,29.87
"R/isNaDS.R",100,29.87
"R/isValidDS.R",94.12,29.87
"R/kurtosisDS1.R",85,29.87
"R/kurtosisDS2.R",76.92,29.87
"R/lengthDS.R",100,29.87
"R/levelsDS.R",91.67,29.87
"R/lexisDS1.R",0,29.87
"R/lexisDS2.R",0,29.87
"R/lexisDS3.R",0,29.87
"R/listDisclosureSettingsDS.R",100,29.87
"R/listDS.R",100,29.87
"R/lmerSLMADS.assign.R",0,29.87
"R/lmerSLMADS2.R",0,29.87
"R/logDS.R",100,29.87
"R/lsDS.R",84.62,29.87
"R/lsplineDS.R",0,29.87
"R/matrixDetDS1.R",0,29.87
"R/matrixDetDS2.R",0,29.87
"R/matrixDiagDS.R",0,29.87
"R/matrixDimnamesDS.R",0,29.87
"R/matrixDS.R",0,29.87
"R/matrixInvertDS.R",0,29.87
"R/matrixMultDS.R",0,29.87
"R/matrixTransposeDS.R",0,29.87
"R/meanDS.R",100,29.87
"R/meanSdGpDS.R",0,29.87
"R/mergeDS.R",0,29.87
"R/messageDS.R",100,29.87
"R/metadataDS.R",80,29.87
"R/miceDS.R",53.33,29.87
"R/minMaxRandDS.R",85.71,29.87
"R/namesDS.R",84.21,29.87
"R/nsDS.R",0,29.87
"R/numNaDS.R",100,29.87
"R/qlsplineDS.R",0,29.87
"R/quantileMeanDS.R",87.5,29.87
"R/rangeDS.R",80,29.87
"R/ranksSecureDS1.R",0,29.87
"R/ranksSecureDS2.R",0,29.87
"R/ranksSecureDS3.R",0,29.87
"R/ranksSecureDS4.R",0,29.87
"R/ranksSecureDS5.R",0,29.87
"R/rbindDS.R",100,29.87
"R/rBinomDS.R",100,29.87
"R/recodeLevelsDS.R",83.33,29.87
"R/recodeValuesDS.R",78.08,29.87
"R/repDS.R",0,29.87
"R/replaceNaDS.R",69.23,29.87
"R/reShapeDS.R",0,29.87
"R/rmDS.R",89.47,29.87
"R/rNormDS.R",100,29.87
"R/rowColCalcDS.R",81.25,29.87
"R/rPoisDS.R",100,29.87
"R/rUnifDS.R",100,29.87
"R/sampleDS.R",65.83,29.87
"R/scatterPlotDS.R",0,29.87
"R/seqDS.R",58.82,29.87
"R/setFilterDS.R",100,29.87
"R/setSeedDS.R",100,29.87
"R/skewnessDS1.R",85,29.87
"R/skewnessDS2.R",71.43,29.87
"R/sqrtDS.R",100,29.87
"R/subsetByClassDS.R",95.65,29.87
"R/subsetByClassHelper1.R",61.9,29.87
"R/subsetByClassHelper2.R",67.74,29.87
"R/subsetByClassHelper3.R",63.33,29.87
"R/subsetDS.R",39.62,29.87
"R/table1DDS.R",0,29.87
"R/table2DDS.R",0,29.87
"R/tableDS.assign.R",0,29.87
"R/tableDS.R",0,29.87
"R/tableDS2.R",0,29.87
"R/tapplyDS.assign.R",28.37,29.87
"R/tapplyDS.R",52.41,29.87
"R/testObjExistsDS.R",100,29.87
"R/uniqueDS.R",100,29.87
"R/unListDS.R",66.67,29.87
"R/utils.R",100,29.87
"R/varDS.R",100,29.87
"R/vectorDS.R",100,29.87
