"","filecoverage","totalcoverage"
"R/absDS.R",100,30.98
"R/asCharacterDS.R",100,30.98
"R/asDataMatrixDS.R",100,30.98
"R/asFactorDS1.R",62.5,30.98
"R/asFactorDS2.R",100,30.98
"R/asFactorSimpleDS.R",100,30.98
"R/asIntegerDS.R",100,30.98
"R/asListDS.R",100,30.98
"R/asLogicalDS.R",100,30.98
"R/asMatrixDS.R",100,30.98
"R/asNumericDS.R",100,30.98
"R/aucDS.R",86.67,30.98
"R/blackBoxDS.R",0,30.98
"R/blackBoxRanksDS.R",0,30.98
"R/BooleDS.R",75,30.98
"R/boxPlotGG_data_Treatment_numericDS.R",0,30.98
"R/boxPlotGG_data_TreatmentDS.R",0,30.98
"R/boxPlotGGDS.R",0,30.98
"R/bp_standardsDS.R",88.89,30.98
"R/cbindDS.R",77.78,30.98
"R/cDS.R",100,30.98
"R/changeRefGroupDS.R",100,30.98
"R/checkNegValueDS.R",100,30.98
"R/checkPermissivePrivacyControlLevel.R",80,30.98
"R/classDS.R",100,30.98
"R/colnamesDS.R",100,30.98
"R/completeCasesDS.R",72.73,30.98
"R/corDS.R",82.35,30.98
"R/corTestDS.R",100,30.98
"R/covDS.R",60.14,30.98
"R/dataFrameDS.R",65.38,30.98
"R/dataFrameFillDS.R",93.33,30.98
"R/dataFrameSortDS.R",77.78,30.98
"R/dataFrameSubsetDS1.R",52.54,30.98
"R/dataFrameSubsetDS2.R",41.23,30.98
"R/densityGridDS.R",86.36,30.98
"R/dimDS.R",100,30.98
"R/dmtC2SDS.R",0,30.98
"R/elsplineDS.R",0,30.98
"R/expDS.R",100,30.98
"R/extract.R",100,30.98
"R/extractQuantilesDS1.R",0,30.98
"R/extractQuantilesDS2.R",0,30.98
"R/gamlssDS.R",74.76,30.98
"R/getWGSRDS.R",79.75,30.98
"R/glmDS1.R",0,30.98
"R/glmDS2.R",0,30.98
"R/glmerSLMADS.assign.R",0,30.98
"R/glmerSLMADS2.R",0,30.98
"R/glmPredictDS.ag.R",0,30.98
"R/glmPredictDS.as.R",0,30.98
"R/glmSLMADS.assign.R",0,30.98
"R/glmSLMADS1.R",0,30.98
"R/glmSLMADS2.R",0,30.98
"R/glmSummaryDS.ag.R",0,30.98
"R/glmSummaryDS.as.R",0,30.98
"R/heatmapPlotDS.R",0,30.98
"R/hetcorDS.R",100,30.98
"R/histogramDS1.R",0,30.98
"R/histogramDS2.R",0,30.98
"R/igb_standardsDS.R",58.12,30.98
"R/isNaDS.R",100,30.98
"R/isValidDS.R",94.12,30.98
"R/kurtosisDS1.R",85.71,30.98
"R/kurtosisDS2.R",78.57,30.98
"R/lengthDS.R",100,30.98
"R/levelsDS.R",76.92,30.98
"R/lexisDS1.R",0,30.98
"R/lexisDS2.R",0,30.98
"R/lexisDS3.R",0,30.98
"R/listDisclosureSettingsDS.R",100,30.98
"R/listDS.R",100,30.98
"R/lmerSLMADS.assign.R",0,30.98
"R/lmerSLMADS2.R",0,30.98
"R/logDS.R",100,30.98
"R/lsDS.R",84.62,30.98
"R/lsplineDS.R",0,30.98
"R/matrixDetDS1.R",0,30.98
"R/matrixDetDS2.R",0,30.98
"R/matrixDiagDS.R",0,30.98
"R/matrixDimnamesDS.R",0,30.98
"R/matrixDS.R",0,30.98
"R/matrixInvertDS.R",0,30.98
"R/matrixMultDS.R",0,30.98
"R/matrixTransposeDS.R",0,30.98
"R/meanDS.R",100,30.98
"R/meanSdGpDS.R",83.78,30.98
"R/mergeDS.R",0,30.98
"R/messageDS.R",100,30.98
"R/metadataDS.R",80,30.98
"R/miceDS.R",53.33,30.98
"R/minMaxRandDS.R",85.71,30.98
"R/namesDS.R",70.59,30.98
"R/nsDS.R",0,30.98
"R/numNaDS.R",100,30.98
"R/qlsplineDS.R",0,30.98
"R/quantileMeanDS.R",90,30.98
"R/rangeDS.R",80,30.98
"R/ranksSecureDS1.R",0,30.98
"R/ranksSecureDS2.R",0,30.98
"R/ranksSecureDS3.R",0,30.98
"R/ranksSecureDS4.R",0,30.98
"R/ranksSecureDS5.R",0,30.98
"R/rbindDS.R",100,30.98
"R/rBinomDS.R",100,30.98
"R/recodeLevelsDS.R",83.33,30.98
"R/recodeValuesDS.R",78.08,30.98
"R/repDS.R",0,30.98
"R/replaceNaDS.R",69.23,30.98
"R/reShapeDS.R",0,30.98
"R/rmDS.R",89.47,30.98
"R/rNormDS.R",100,30.98
"R/rowColCalcDS.R",78.57,30.98
"R/rPoisDS.R",100,30.98
"R/rUnifDS.R",100,30.98
"R/sampleDS.R",65.83,30.98
"R/scatterPlotDS.R",0,30.98
"R/seqDS.R",58.82,30.98
"R/setFilterDS.R",100,30.98
"R/setSeedDS.R",100,30.98
"R/skewnessDS1.R",85.71,30.98
"R/skewnessDS2.R",73.33,30.98
"R/sqrtDS.R",100,30.98
"R/subsetByClassDS.R",95.65,30.98
"R/subsetByClassHelper1.R",61.9,30.98
"R/subsetByClassHelper2.R",67.74,30.98
"R/subsetByClassHelper3.R",63.33,30.98
"R/subsetDS.R",39.62,30.98
"R/table1DDS.R",0,30.98
"R/table2DDS.R",0,30.98
"R/tableDS.assign.R",0,30.98
"R/tableDS.R",0,30.98
"R/tableDS2.R",0,30.98
"R/tapplyDS.assign.R",28.37,30.98
"R/tapplyDS.R",52.08,30.98
"R/testObjExistsDS.R",100,30.98
"R/uniqueDS.R",100,30.98
"R/unListDS.R",66.67,30.98
"R/utils.R",100,30.98
"R/varDS.R",100,30.98
"R/vectorDS.R",100,30.98
